PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Total Min,First Player,Second Player,Third Player,Fourth Player,Fifth Player
32.1,12.0,23.0,52.1,3.9,8.9,43.7,4.3,5.2,83.9,2.4,9.8,12.2,9.3,3.9,2.8,1.4,0.9,4.0,5.0,6.2,533.2,Scoring Wing,Shooting Wing,3-and-D Wing,3-and-D Wing,Scoring Center
22.3,8.5,16.5,51.8,1.9,4.2,46.0,3.3,4.3,78.1,2.5,6.5,9.0,5.5,2.5,1.5,0.9,0.7,2.4,3.4,4.3,136.5,Floor General,Shooting Wing,3-and-D Wing,3-and-D Wing,Scoring Center
14.8,5.5,10.6,52.0,1.9,3.9,49.5,1.8,2.3,78.6,1.0,4.7,5.7,4.0,1.2,1.1,0.6,0.6,1.7,1.8,4.0,127.19999999999999,Scoring Wing,Shooting Wing,3-and-D Wing,3-and-D Wing,Supporting Center
17.7,6.633333333333333,13.566666666666668,48.86666666666667,2.533333333333333,6.3,41.16666666666667,1.9000000000000001,2.3666666666666667,80.06666666666666,1.9666666666666668,4.966666666666667,6.933333333333333,3.9666666666666663,1.8333333333333333,1.0,0.7666666666666666,0.5333333333333333,2.433333333333333,2.466666666666667,3.0,374.1,Combo Guard,Scoring Wing,Shooting Wing,Versatile Forward,Scoring Center
13.6,4.6,8.9,51.8,1.3,3.9,33.9,3.1,3.4,89.7,0.7,3.8,4.5,3.2,1.4,1.1,1.1,0.4,2.0,2.5,2.7,225.0,Scoring Wing,Shooting Wing,Shooting Wing,3-and-D Wing,3-and-D Wing
26.660000000000004,9.9,20.84,47.06000000000001,2.82,6.840000000000001,38.18,4.0600000000000005,5.26,77.0,2.88,7.980000000000001,10.879999999999999,5.92,3.18,2.1599999999999997,1.2200000000000002,1.0799999999999998,3.6800000000000006,4.840000000000001,2.6,1035.3,Combo Guard,Scoring Wing,Shooting Wing,Scoring Center,Scoring Center
22.6,8.6,17.7,48.7,3.2,7.0,45.9,2.1,2.3,93.0,2.1,6.8,8.8,6.8,3.1,1.9,0.7,1.2,3.5,2.8,2.4,174.79999999999998,Scoring Wing,Shooting Wing,Shooting Wing,3-and-D Wing,Scoring Center
19.25,7.25,15.75,46.4,2.05,5.5,37.8,2.7,3.6500000000000004,69.15,1.95,6.3500000000000005,8.350000000000001,4.4,2.0,1.9,0.65,0.7,3.2,3.9,2.4,178.8,Floor General,Scoring Wing,Shooting Wing,3-and-D Wing,Supporting Center
15.5,5.6,13.85,45.35,1.5499999999999998,4.3,38.8,2.7,3.65,74.7,2.05,6.15,8.2,3.3499999999999996,1.75,1.2,0.7,0.4,2.5,3.1,2.1,154.10000000000002,Combo Guard,Shooting Wing,3-and-D Wing,Scoring Center,Scoring Center
16.1,5.9,12.05,47.7,1.4500000000000002,4.6,29.4,2.9,3.5,79.45,1.15,4.7,5.800000000000001,3.4,1.5499999999999998,1.3,0.44999999999999996,0.65,2.2,3.4,2.05,170.8,Shooting Wing,Shooting Wing,Shooting Wing,3-and-D Wing,Supporting Center
19.9,7.95,16.55,46.150000000000006,1.2,3.9,30.65,2.8,4.05,74.75,2.9,6.45,9.35,4.6000000000000005,2.9000000000000004,1.95,1.05,1.05,3.3,3.3,1.9500000000000002,299.7,Combo Guard,Scoring Wing,3-and-D Wing,Scoring Center,Scoring Center
12.75,4.2,8.45,49.75,1.05,3.0,36.349999999999994,3.3,4.5,74.35,1.1,3.65,4.8,2.3,1.35,0.55,0.2,0.2,2.25,3.2,1.85,294.20000000000005,Floor General,Scoring Wing,Shooting Wing,Versatile Forward,Supporting Center
16.13333333333333,6.066666666666666,12.700000000000001,48.03333333333333,1.4333333333333333,3.6666666666666665,39.86666666666667,2.566666666666667,3.266666666666666,78.93333333333332,1.5999999999999999,5.933333333333334,7.566666666666667,3.7999999999999994,2.566666666666667,1.1,0.7999999999999999,0.6666666666666666,2.533333333333333,3.233333333333333,1.7333333333333334,375.0,Scoring Wing,Scoring Wing,Shooting Wing,Scoring Center,Supporting Center
13.666666666666666,5.1000000000000005,10.766666666666666,48.26666666666666,1.6333333333333335,3.866666666666667,42.300000000000004,1.866666666666667,2.3666666666666667,80.26666666666667,0.9666666666666667,4.1000000000000005,5.033333333333334,3.033333333333333,1.4666666666666668,1.1666666666666667,0.4666666666666666,0.6333333333333333,1.9666666666666668,2.1666666666666665,1.7,390.0,Combo Guard,Shooting Wing,Shooting Wing,3-and-D Wing,Scoring Center
17.4,6.55,13.399999999999999,47.5,1.3,3.1500000000000004,40.15,3.0,3.7,83.15,1.35,5.65,7.0,3.95,1.9,1.1,1.1,0.44999999999999996,2.45,3.2,1.4000000000000001,483.0,Combo Guard,3-and-D Wing,3-and-D Wing,Versatile Forward,Scoring Center
13.6,4.8,9.6,49.7,1.5,4.3,35.3,2.6,3.2,81.0,1.4,3.3,4.7,2.8,1.1,0.8,0.4,0.5,2.0,2.5,1.4,104.0,Scoring Wing,Scoring Wing,Scoring Wing,Shooting Wing,Supporting Center
25.399999999999995,9.866666666666667,21.333333333333332,46.300000000000004,2.1,5.033333333333334,40.2,3.5666666666666664,4.566666666666666,78.2,2.6666666666666665,8.566666666666665,11.199999999999998,5.5,2.6,1.8666666666666665,0.8666666666666667,1.366666666666667,3.9333333333333336,3.633333333333333,1.366666666666667,617.4,Scoring Wing,Shooting Wing,3-and-D Wing,Scoring Center,Scoring Center
17.05,6.025,12.9,45.775000000000006,2.125,5.725,36.425,2.8499999999999996,3.9000000000000004,71.225,1.725,4.975,6.65,3.85,2.025,1.225,0.6499999999999999,0.8,2.5999999999999996,2.9499999999999997,1.2749999999999997,1003.8000000000001,Scoring Wing,Scoring Wing,Shooting Wing,3-and-D Wing,Supporting Center
11.375,4.249999999999999,8.875,47.75,1.075,2.9,36.775,1.825,2.2,80.325,0.875,4.15,5.025,2.6,1.525,0.6,0.7,0.35000000000000003,1.8,2.325,1.2249999999999999,424.29999999999995,Scoring Wing,Scoring Wing,Shooting Wing,Versatile Forward,Supporting Center
25.0,9.5,19.9,47.9,3.0,6.6,45.4,2.9,3.4,85.9,0.9,7.7,8.7,5.9,2.5,1.7,0.4,0.9,3.4,4.0,1.2,257.59999999999997,Combo Guard,Scoring Wing,Shooting Wing,3-and-D Wing,Versatile Forward
12.675,4.425000000000001,9.45,47.2,1.575,4.4,35.45,2.225,2.75,79.15,1.175,3.5250000000000004,4.775,2.7,1.55,0.825,0.475,0.575,2.15,2.25,1.125,532.8,Scoring Wing,Scoring Wing,Shooting Wing,3-and-D Wing,Scoring Center
14.98,5.4799999999999995,11.680000000000001,46.82000000000001,1.46,4.14,33.42,2.58,3.34,77.3,1.3199999999999998,4.92,6.18,3.2399999999999998,1.7,1.02,0.7,0.6,2.4,2.6799999999999997,1.06,689.3,Combo Guard,Scoring Wing,Shooting Wing,3-and-D Wing,Scoring Center
11.525,4.05,9.175,44.24999999999999,1.5,4.525,33.175000000000004,1.9249999999999998,2.6500000000000004,71.1,1.15,3.675,4.824999999999999,2.625,1.5499999999999998,0.8999999999999999,0.4,0.45,2.0,2.075,1.0250000000000001,624.7,Scoring Wing,Scoring Wing,Shooting Wing,3-and-D Wing,Versatile Forward
10.8,4.3,8.6,50.2,0.75,2.1,36.35,1.5,2.0999999999999996,73.80000000000001,0.7,3.8499999999999996,4.6,3.15,1.35,1.0,0.75,0.25,1.95,2.2,0.95,270.6,Scoring Wing,Shooting Wing,Shooting Wing,3-and-D Wing,Versatile Forward
25.799999999999997,10.016666666666666,20.933333333333334,46.050000000000004,2.133333333333333,5.683333333333334,35.71666666666667,3.65,4.866666666666666,74.60000000000001,2.5999999999999996,7.833333333333333,10.466666666666667,5.8,2.8666666666666667,1.8833333333333335,0.9333333333333335,1.0999999999999999,4.216666666666667,4.083333333333333,0.8833333333333333,2537.4,Floor General,Shooting Wing,Shooting Wing,3-and-D Wing,Supporting Center
14.2,5.5,12.3,45.0,1.9000000000000001,5.15,36.5,1.4,1.85,78.55,1.5,5.0,6.55,3.05,2.05,1.1,0.6,0.45,3.0,2.45,0.85,204.2,Floor General,Shooting Wing,3-and-D Wing,3-and-D Wing,Supporting Center
16.242857142857144,6.1428571428571415,12.999999999999998,47.55714285714286,1.6428571428571426,4.114285714285715,39.94285714285714,2.3285714285714287,2.914285714285714,80.58571428571429,1.2142857142857142,5.171428571428572,6.4142857142857155,3.6999999999999997,1.8142857142857145,1.242857142857143,0.7285714285714286,0.7142857142857144,2.7857142857142856,2.757142857142857,0.7857142857142857,964.1,Combo Guard,Shooting Wing,Shooting Wing,Versatile Forward,Scoring Center
17.7,6.9333333333333345,14.733333333333333,47.366666666666674,0.9333333333333332,2.4333333333333336,39.300000000000004,2.9,3.533333333333333,79.06666666666666,2.0,5.966666666666668,7.966666666666668,4.233333333333333,2.1,1.3,0.9,0.7666666666666666,2.6333333333333333,3.0,0.7333333333333334,585.4,Floor General,Scoring Wing,Shooting Wing,Scoring Center,Scoring Center
17.7,6.6,13.8,47.6,1.8,5.6,32.8,2.7,3.4,78.0,1.4,6.3,7.7,2.4,2.9,0.8,0.7,0.5,4.3,3.6,0.7,100.80000000000001,Combo Guard,Scoring Wing,Scoring Wing,Shooting Wing,Supporting Center
