,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,First Player,Second Player,Third Player,Fourth Player,Fifth Player
0,ORL,19,21.6,52.3,20.4,42.3,48.2,4.3,10.9,39.6,7.3,8.9,81.2,4.7,15.8,20.5,12.1,5.2,3.6,2.2,2.4,8,6.9,0.8,E.Fournier, A.Gordon, E.Payton, T.Ross, N.Vucevic
1,MIN,41,21.5,46.3,17.6,37.2,47.4,3.2,9.1,35.5,7.9,10,78.2,4.8,14.2,19,11.2,6.4,3.2,2,2.2,7.8,8.9,-0.9,G.Dieng, Z.LaVine, R.Rubio, K.Towns, A.Wiggins
2,WAS,69,19.5,45.4,17.7,35.9,49.4,4.1,10.1,40.3,5.9,7.8,76.3,4,13.5,17.5,10.9,5.3,3.7,1.4,2,7.1,7.1,3.4,B.Beal, M.Gortat, M.Morris, O.Porter, J.Wall
3,LAC,46,18.9,44,16.2,31.6,51.3,3.8,8.5,44,7.8,10.8,72.3,3.4,13.9,17.3,10.6,5.1,3.7,2,1.1,6.2,9.3,5.4,B.Griffin, D.Jordan, L.Mbah,C.Paul, J.Redick
4,CLE,27,16.8,40.9,15.3,31.1,49,5,11.5,43.9,5.4,7.1,75.1,3.7,11.2,14.9,9.6,4.4,2.7,1.4,1.4,5.6,7.1,2.2,K.Irving, L.James, K.Love, J.Smith, T.Thompson
5,CHA,47,16.7,36.2,13.3,29.4,45.1,3.3,9.3,35.3,6.3,7.8,81.2,3,12,15,8.7,4.1,3.1,1.6,2.2,4.6,6.4,1.7,N.Batum, M.Kidd-Gilchrist, K.Walker, M.Williams, C.Zeller
6,PHX,7,16.4,38.3,14.4,29.9,48.3,2.7,7.9,34.5,6.7,9.4,71.2,3.1,11.9,15,7,4.6,2.6,0.7,1.9,8.4,6.9,0.1,E.Bledsoe, D.Booker, T.Chandler, J.Dudley, T.Warren
7,MIN,38,15.7,34.8,13.3,27,49.5,2.2,5.8,38.2,5.9,7.1,83.4,3.3,10.9,14.1,8.3,4.6,2.2,1.4,1.5,5.3,6.2,0.6,G.Dieng, R.Rubio, B.Rush, K.Towns, A.Wiggins
8,CLE,12,15.1,40.2,14.5,27.7,52.4,5.2,10.6,48.8,6,7.8,77.4,3.8,11.3,15.1,8.4,4.5,3.5,1.5,1.4,3.5,6.4,9.8,K.Irving, L.James, D.Liggins, K.Love, T.Thompson
9,TOR,16,14.6,30.4,12.1,25.8,47.1,2.3,6.4,35.9,3.9,4.8,80.5,3.6,10.8,14.4,6.2,4.3,2.1,2.1,1.2,5.3,4.8,0.4,D.Carroll, D.DeRozan, S.Ibaka, C.Joseph, J.Valanciunas
