Player,Status,Pos,labels,X1,X2,g,mp,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.J. Price,Inactive,PG,Combo Guard,-3.407512198,-0.61153575,261,3929,0.38,18.3,0.522,0.1,0.113,0.126,0.184,0.478,0.439,0.583,0.393,0.44,0.389,0.316,0.178,0,0,0.739,0.152,0.324,7,0,7.2,18.8,2.8,9,4.3,9.8,2.7,3.6,0.742,0.9,4,4.9,7.4,1.6,0.1,3,3.1,19.8,100,108,12.2,0.486,0.193,1.9,8.7,5.3,23.6,1.6,0.2,12.8,20.5,1.2,3.5,4.7,0.058,-0.3,-2.1,-2.4,-0.4
Aaron Brooks,Active,PG,Combo Guard,-3.082297903,-1.278284708,613,13250,0.413,15.2,0.596,0.241,0.14,0.092,0.122,0.404,0.442,0.505,0.391,0.423,0.391,0.37,0.166,0.001,3,0.664,0.141,0.412,44,1,8.6,20.9,3.1,8.5,5.5,12.4,3.5,4.2,0.839,1,3.1,4.1,7.4,1.4,0.3,3.8,4.6,23.9,104,110,13.4,0.525,0.2,2.1,6.9,4.5,23.7,1.4,0.5,14.4,23.2,10.5,8.6,19.1,0.069,0.7,-2.4,-1.7,0.9
Aaron Gordon,Active,PF,3-and-D Wing,0.416366195,0.669322667,205,4958,0.46,11.4,0.723,0.406,0.104,0.098,0.116,0.277,0.526,0.665,0.349,0.37,0.325,0.289,0.506,0.126,193,0.894,0.324,0.297,9,0,7.7,16.7,1.3,4.6,6.3,12,3.3,4.7,0.699,3.2,7.7,10.9,3.1,1.5,1.2,1.9,4.1,20,109,108,14.9,0.533,0.285,6.9,17.4,12,9.7,1.5,1.9,9.4,18.3,5.5,4.6,10.1,0.098,-0.3,0.2,-0.1,2.4
Aaron Gray,Inactive,C,Supporting Center,3.203851957,-1.690968332,318,3851,0.509,3.9,0.997,0.589,0.299,0.091,0.017,0.003,0.511,0.587,0.419,0.354,0.333,0,0.539,0.065,52,0,0,0,1,0,6,11.8,0,0,6,11.7,2.5,4.5,0.562,5.9,10.4,16.2,2.8,1.3,1.2,3.6,9.2,14.5,102,105,11.5,0.528,0.383,12.9,23.1,18,8.4,1.3,1.8,20.8,15.1,1.4,4.8,6.2,0.077,-2.8,0.9,-1.8,0.2
Adreian Payne,Active,PF,Versatile Forward,1.531027367,-0.076999331,102,1360,0.399,11.5,0.866,0.258,0.224,0.112,0.272,0.134,0.424,0.537,0.362,0.362,0.395,0.232,0.623,0.084,29,0.923,0.196,0.182,0,0,6.2,15.6,0.5,2.1,5.7,13.5,2.3,3.4,0.67,2.9,8.5,11.4,2.5,1.6,1,3.3,7.3,15.2,87,110,7.6,0.444,0.217,6.4,19.6,13,7.5,1.6,1.6,16.1,17.9,-1.5,0.8,-0.7,-0.026,-4.8,-0.7,-5.5,-1.2
Al Harrington,Inactive,PF,3-and-D Wing,0.474932112,0.624743114,910,26995,0.445,12.2,0.751,0.329,0.118,0.141,0.163,0.249,0.475,0.595,0.334,0.386,0.41,0.354,0.504,0.047,491,0.956,0.25,0.378,19,1,9.3,20.8,1.8,5.1,7.5,15.7,4.1,5.6,0.727,2.8,7.3,10.1,3,1.6,0.5,3.4,5.7,24.4,102,107,14.3,0.523,0.268,6.1,16.4,11.2,10.1,1.6,0.7,12.7,23.2,17.4,25,42.5,0.073,-0.3,-0.9,-1.2,5.5
Al Horford,Active,C,Scoring Center,2.339836264,-0.273594607,646,21535,0.528,10.1,0.924,0.309,0.225,0.131,0.259,0.076,0.543,0.726,0.443,0.436,0.467,0.346,0.71,0.09,632,0.974,0.252,0.345,1,0,9.4,17.9,0.5,1.4,9,16.5,2.9,3.9,0.748,3.5,10,13.5,4.6,1.3,1.9,2.5,3.7,22.3,114,104,18.9,0.568,0.216,8,22,15,15.1,1.3,2.8,11.2,19.5,39.7,30.8,70.5,0.157,0.8,2.2,3,27.2
Al Jefferson,Active,C,Scoring Center,2.764958816,-0.43705016,879,25815,0.499,7.8,0.995,0.322,0.332,0.198,0.142,0.005,0.5,0.656,0.467,0.388,0.383,0.127,0.542,0.051,573,0.875,0.095,0.167,15,0,12.2,24.4,0,0.1,12.1,24.3,4,5.6,0.709,4.1,11.1,15.2,2.6,1.2,2.1,2.4,4.6,28.3,108,105,20.6,0.527,0.23,9,25.1,16.9,9.7,1.2,3.3,8.2,25.5,36.6,32.8,69.4,0.129,-0.2,0.5,0.3,14.9
Al-Farouq Aminu,Active,SF,3-and-D Wing,0.899451934,1.103948698,520,12520,0.426,11.5,0.713,0.366,0.168,0.049,0.129,0.287,0.467,0.607,0.33,0.333,0.303,0.324,0.612,0.099,294,0.964,0.414,0.346,5,0,5.8,13.5,1.3,3.9,4.5,9.7,2.7,3.8,0.725,3,9.2,12.2,2.6,2,1.3,2.8,4,15.5,101,106,12.3,0.511,0.279,6.6,20.4,13.5,7.7,2,2,15.3,15.7,3.7,13.7,17.4,0.067,-1.7,1.4,-0.3,5.2
Alan Anderson,Active,SF,Shooting Wing,-1.242306337,1.336156083,330,6793,0.405,16.2,0.538,0.202,0.108,0.096,0.131,0.462,0.457,0.649,0.338,0.398,0.297,0.344,0.479,0.02,38,0.867,0.353,0.365,9,0,6.5,16,2.5,7.4,3.9,8.6,3.1,3.8,0.816,1.2,4.3,5.5,2.8,1.4,0.2,2.2,4.6,18.6,103,110,10.3,0.526,0.238,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6,3.7,3.7,7.4,0.052,-0.6,-1.5,-2.1,-0.2
Alan Williams,Active,C,Supporting Center,4.611314729,-1.394914509,57,776,0.509,4.5,0.997,0.505,0.405,0.082,0.003,0.003,0.51,0.592,0.432,0.417,0,0,0.709,0.01,3,0,0,0,1,0,9.1,18,0,0.1,9.1,17.9,4.9,7.8,0.627,6.7,13.7,20.4,1.7,1.9,2.3,2.7,8.6,23.2,112,105,19.7,0.541,0.433,14.7,31.9,23.1,5.7,1.9,3.9,11,21,1.2,1.1,2.3,0.142,-1.9,0.5,-1.4,0.1
Alec Burks,Active,SG,Shooting Wing,-1.135445616,0.412795667,301,6618,0.428,12,0.795,0.315,0.183,0.078,0.22,0.205,0.446,0.593,0.336,0.366,0.356,0.36,0.358,0.038,85,0.785,0.276,0.403,15,0,8.4,19.6,1.4,4,6.9,15.6,5.9,7.9,0.752,1.6,5.3,7,4.2,1.5,0.4,3.3,4.6,24.1,104,110,13.8,0.524,0.404,3.5,11.8,7.7,13.6,1.5,0.6,12.5,22.9,5.6,4,9.6,0.07,-0.6,-1.5,-2.1,-0.2
Alex Abrines,Active,SG,Shooting Wing,-1.39927711,0.939382467,68,1055,0.393,20.6,0.276,0.12,0.047,0.044,0.065,0.724,0.426,0.488,0.438,0.333,0.364,0.381,0.6,0.015,5,0.968,0.231,0.404,2,0,6.2,15.9,4.4,11.5,1.9,4.4,2,2.3,0.898,0.8,3.2,4,1.9,1.7,0.4,1.5,5.3,18.9,113,110,10.1,0.56,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-0.3,-2.2,-2.5,-0.1
Alex Len,Active,C,Scoring Center,3.128176626,-0.213443326,266,5261,0.465,6.5,0.986,0.488,0.213,0.132,0.15,0.014,0.469,0.632,0.309,0.289,0.329,0.227,0.646,0.175,237,1,0.5,0.364,2,0,6.6,14.1,0,0.2,6.5,13.9,3.9,5.4,0.716,4.8,10.6,15.4,1.6,1.1,2.6,3.2,7,17,102,106,13.2,0.517,0.383,10.5,24.1,17.2,5.2,1.1,4.3,16.4,17.2,1.8,6.1,7.9,0.072,-3.7,1.3,-2.5,-0.6
Alexey Shved,Inactive,SG,Scoring Wing,-2.630587221,-0.400785382,182,3271,0.369,15.7,0.562,0.264,0.094,0.061,0.137,0.438,0.417,0.58,0.298,0.243,0.261,0.306,0.332,0.022,26,0.685,0.089,0.426,5,0,7,18.9,2.5,8.3,4.4,10.6,4.6,6.1,0.762,1.3,4.2,5.6,7.2,1.7,0.8,3.8,3.1,21.1,99,108,12.8,0.489,0.323,2.8,9.6,6.1,23.2,1.7,1.2,15,22,0.6,2.5,3.1,0.046,-0.4,-1.3,-1.7,0.2
Alexis Ajinca,Active,C,Supporting Center,3.70528603,-0.888415999,293,3905,0.503,9.1,0.967,0.337,0.244,0.143,0.242,0.033,0.51,0.651,0.438,0.44,0.429,0.286,0.708,0.119,134,1,0.048,1,0,0,8.5,16.8,0.2,0.6,8.3,16.3,3.3,4.1,0.797,4.5,10.5,15.1,1.9,1.3,2.4,3.3,8.7,20.4,104,106,14.9,0.546,0.246,9.9,23.5,16.6,5.9,1.3,3.7,14.9,19.3,2.9,4.6,7.5,0.093,-2.9,0.4,-2.5,-0.5
Allen Crabbe,Active,SG,3-and-D Wing,-0.201919203,1.551459659,226,5142,0.456,17.4,0.546,0.151,0.073,0.086,0.237,0.454,0.493,0.689,0.387,0.469,0.411,0.411,0.776,0.018,23,0.968,0.3,0.422,1,0,6.7,14.7,2.7,6.7,4,8,2.1,2.5,0.848,0.5,4.6,5.1,2.3,1.3,0.5,1.4,4.3,18.3,114,111,11.4,0.578,0.17,1.1,10,5.6,6.9,1.3,0.8,8.1,15.1,6.7,3.1,9.8,0.091,0.1,-1,-0.9,1.5
Alonzo Gee,Active,SF,Shooting Wing,-0.726261111,1.458970137,417,9071,0.434,10.3,0.752,0.426,0.147,0.079,0.099,0.248,0.469,0.621,0.224,0.295,0.323,0.325,0.531,0.146,308,0.93,0.582,0.318,3,1,5.7,13.1,1.1,3.2,4.6,9.8,3.2,4.3,0.754,2.2,5.5,7.7,2.5,2.1,0.6,2.5,4.5,15.6,102,109,10.7,0.522,0.325,4.7,12.6,8.5,7.6,2.1,0.9,14.5,15.2,3.8,5.9,9.7,0.051,-1.6,0.2,-1.4,1.4
Amar'e Stoudemire,Inactive,PF,Scoring Center,2.467601901,0.14880596,846,26254,0.537,6.9,0.988,0.448,0.249,0.116,0.175,0.012,0.54,0.67,0.441,0.418,0.431,0.236,0.591,0.159,1593,0.7,0.252,0.313,14,0,11.5,21.3,0.1,0.2,11.4,21.1,8,10.6,0.761,3.9,8.9,12.9,2,1.2,2,3.8,5.2,31,113,105,21.8,0.597,0.495,9,19.5,14.4,6.9,1.2,2.9,12.7,26.2,63.1,29.4,92.5,0.169,0.8,-0.2,0.5,16.8
Amir Johnson,Active,PF,Supporting Center,3.092271601,-0.806079759,745,16623,0.574,6.3,0.939,0.53,0.257,0.037,0.115,0.061,0.59,0.707,0.463,0.38,0.4,0.34,0.677,0.13,495,0.976,0.272,0.338,5,0,7.3,12.7,0.3,0.8,7,11.9,2.5,3.7,0.674,4.9,8.3,13.2,2.8,1.4,2.4,2.6,7.1,17.4,117,105,16,0.605,0.29,10.8,18.6,14.7,8.5,1.4,3.7,15.3,14.8,29.5,20.6,50.1,0.145,0.3,2.3,2.6,19.1
Anderson Varejao,Active,C,Scoring Center,2.808260683,-0.148087134,627,15051,0.51,6.2,0.988,0.538,0.187,0.118,0.145,0.012,0.516,0.633,0.356,0.381,0.4,0.024,0.711,0.06,196,1,0.071,0,7,0,6.3,12.4,0,0.1,6.3,12.2,3.3,5.3,0.631,5.3,10.5,15.8,2.6,1.9,1.4,2.1,5.7,15.9,114,102,15.6,0.543,0.427,11.5,23.3,17.4,7.7,1.9,2.1,12.4,14.5,22.2,24.2,46.4,0.148,-0.8,2.3,1.5,13.3
Andray Blatche,Inactive,PF,Versatile Forward,1.425649253,-0.115099491,564,12462,0.467,9,0.956,0.392,0.195,0.134,0.236,0.044,0.478,0.644,0.356,0.358,0.37,0.237,0.514,0.062,295,0.865,0.306,0.269,8,0,9.8,21,0.2,0.9,9.6,20.1,4.2,5.8,0.725,4.4,8.3,12.7,3.4,2.1,1.9,3.8,5.8,24,101,106,16.8,0.511,0.277,9.6,18.9,14.1,11.3,2.1,2.9,14.1,23.7,5.2,14,19.2,0.074,-1.2,1,-0.3,5.4
Andre Drummond,Active,C,Supporting Center,4.165575909,-0.742715983,385,11439,0.548,3,0.995,0.652,0.303,0.035,0.004,0.005,0.549,0.646,0.378,0.284,0.063,0.263,0.576,0.192,696,0,0,0,12,2,9.9,18,0,0.1,9.9,17.9,3,8,0.381,8,14.1,22.1,1.2,2.1,2.6,2.6,5.3,22.8,108,100,21.6,0.53,0.443,16.5,31.5,23.7,4.1,2.1,4,10.9,20.8,15.3,20.8,36.1,0.151,-1,1.6,0.7,7.7
Andre Iguodala,Active,SF,Shooting Wing,-1.436820825,0.68086878,976,33834,0.465,13.4,0.723,0.325,0.07,0.093,0.236,0.277,0.514,0.705,0.323,0.326,0.382,0.336,0.515,0.144,1340,0.83,0.313,0.349,49,2,6.9,14.9,1.4,4.1,5.5,10.7,4.1,5.7,0.714,1.4,6.4,7.8,6.7,2.4,0.7,3,2.8,19.3,111,105,16,0.555,0.385,3.2,14.1,8.7,19.9,2.4,1.1,14.8,17.9,46.5,42.5,89,0.126,1.4,1.6,3,43
Andre Miller,Inactive,PG,Floor General,-2.781534447,-2.09221948,1222,38175,0.461,10.1,0.932,0.338,0.167,0.224,0.203,0.068,0.479,0.607,0.405,0.416,0.397,0.218,0.303,0.002,16,0.727,0.128,0.234,122,3,7.8,17,0.3,1.2,7.6,15.8,5.2,6.4,0.807,1.8,4.4,6.2,11,2,0.3,4,3.7,21.1,110,108,17.4,0.532,0.38,4,9.9,6.9,34.7,2,0.4,16.9,20.6,69.5,31.2,100.8,0.12,1.7,-0.6,1.1,31.7
Andre Roberson,Active,SG,3-and-D Wing,0.429546147,1.715489985,256,5614,0.473,10.4,0.617,0.531,0.069,0.007,0.012,0.383,0.605,0.659,0.304,0.143,0.167,0.26,0.723,0.149,139,0.97,0.558,0.298,4,0,4.2,8.9,0.9,3.4,3.3,5.5,1,2,0.493,2.4,6.4,8.9,1.9,1.9,1.4,1.3,4.9,10.3,110,106,9.6,0.526,0.222,5.5,14,9.8,5.1,1.9,2.2,12,9.6,3.6,6.9,10.6,0.09,-1.4,1.9,0.4,3.5
Andrea Bargnani,Inactive,C,Versatile Forward,1.392810105,0.483588505,550,15806,0.439,15,0.735,0.185,0.131,0.144,0.274,0.265,0.47,0.594,0.428,0.438,0.424,0.354,0.679,0.034,206,0.954,0.021,0.324,12,1,9.7,22.1,2.1,5.9,7.6,16.2,4.6,5.5,0.824,1.8,6.6,8.4,2.2,0.7,1.6,2.8,4.4,26,103,111,14.4,0.531,0.251,3.9,15,9.5,7.1,0.7,2.4,10.3,24,9.8,9.1,18.9,0.057,-0.6,-1.6,-2.2,-0.9
Andrei Kirilenko,Inactive,SF,Versatile Forward,0.807159853,0.104352634,797,23916,0.474,9.8,0.821,0.49,0.08,0.051,0.2,0.179,0.51,0.64,0.276,0.26,0.348,0.31,0.664,0.133,841,0.935,0.162,0.328,4,0,7,14.7,0.8,2.6,6.2,12.1,6.1,8.1,0.754,3.1,6.5,9.6,4.8,2.4,3.2,3.4,3.6,20.9,112,103,18.7,0.571,0.554,7.1,14.9,11,14.7,2.4,5,15.5,18.6,40.7,34.7,75.4,0.151,1.5,3.5,5,42.4
Andrew Bogut,Active,C,Supporting Center,3.325110791,-1.43516949,671,19512,0.534,4,0.995,0.547,0.353,0.064,0.031,0.005,0.536,0.646,0.424,0.329,0.31,0.12,0.587,0.127,646,0.667,0,0,3,0,7.8,14.6,0,0.1,7.8,14.5,2.2,3.9,0.556,4.5,11.3,15.8,4,1.1,2.8,3.1,5.6,17.8,108,102,16.4,0.545,0.27,9.9,25.2,17.5,12.3,1.1,4.3,16,17,19,30.9,49.9,0.123,-1.2,3.5,2.4,21.4
