Player,School,Pos,labels,X1,X2,Status,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
A.C. Reid,Liberty,Guard,Game Manager,1.664976795,-0.459989993,Active,96,2018,5.4,16.2,0.332,1.3,3.2,0.396,4.1,13,0.316,1.3,1.8,0.7,6,4.1,1.6,0.3,3.6,5.7,16.2,88.6,105,7.7,0.473,0.459,0.801,0.113,523,0.8,11.3,6.1,14.2,1.6,0.7,17.2,18.6,-0.4,2.3,1.9,0.037,-3.1,-1.8,-5
A.J. Astroth,Vanderbilt,Forward-Guard,Versatile Forward,-1.101804445,1.817658832,Active,65,1002,6,13.4,0.448,5.2,10,0.521,0.8,3.4,0.232,3.9,6.3,0.61,15.3,1.8,1.9,0.5,2.8,6,16.7,106.1,100.3,14.3,0.508,0.478,0.251,0.471,284,9.8,19.1,14.3,6.4,1.9,0.9,14.7,16,1.1,1.5,2.6,0.106,-1.8,-0.5,-2.3
A.J. Atkinson,Davidson,Guard,Versatile Forward,-1.062458225,1.404997131,Inactive,44,71,5,11.6,0.438,3.3,5,0.625,1.7,6.6,0.25,2.5,4.1,0.6,12.4,1.7,0,0,1.7,7.4,14,104.2,103.7,9.6,0.517,0.5,0.5,0.313,15,4.8,20.5,12.4,5.8,0,0,14,12.8,0.1,0.1,0.1,0.075,1.4,-1.8,-0.4
A.J. Avery,Western Michigan,Forward,Offensive Big,-2.718992787,0.867912464,Inactive,111,1475,5.5,12.1,0.457,5.4,11.7,0.459,0.2,0.4,0.4,4.3,6.5,0.658,14,1.4,1.3,2.3,2.9,8.7,15.5,105.9,103.3,13.4,0.51,0.463,0.033,0.537,418,11.5,16.5,13.9,4.6,1.3,4.8,16.1,15.7,1.7,1.9,3.6,0.097,-2.5,1.6,-0.9
A.J. Cheeseman,New Orleans,Forward,Scoring Wing,-1.378323542,-1.95098107,Active,20,99,4.7,9.3,0.5,4.7,9.3,0.5,0,0,0,2.9,6.4,0.455,8.7,3.5,1.2,1.7,4.7,11.6,12.2,84.1,99.2,5.5,0.495,0.5,0,0.688,21,2.5,15.4,9.1,10.9,1.2,3.5,27.4,14.5,0,0.2,0.1,0.048,-7.1,0.7,-6.3
A.J. Cockrell,Texas-San Antonio,Forward,Scoring Wing,-1.853183433,-0.146820614,Inactive,32,421,5.5,11.7,0.467,5.5,11.6,0.472,0,0.1,0,3,5.2,0.575,9,1,1,1,2.5,9.6,13.9,99.4,117.9,8.9,0.491,0.467,0.011,0.444,112,8.2,10.6,9.3,3.7,1,2.2,14.8,14.6,0.2,0,0.2,0.021,-4.5,-3,-7.4
A.J. Davis,Wyoming,Guard,Swingman,1.294798637,0.715322902,Inactive,119,2315,10.1,22.3,0.452,6.8,12.5,0.55,3.3,9.8,0.322,6.6,8.9,0.72,8.6,2.6,3.6,0.6,5.1,4.7,30,103.5,101.5,20.7,0.559,0.521,0.427,0.402,1021,3.5,14.8,8.8,10.7,3.6,1.2,16.5,27.5,4.4,3,7.4,0.123,3.1,-1,2.1
A.J. Davis,Tennessee,Guard,Shooting Wing,0.365017415,0.36411393,Active,86,2190,5.4,14.5,0.375,4.2,10.2,0.412,1.2,4.3,0.287,5.7,7.9,0.727,12,4.6,1.6,0.8,4.6,5.2,17.8,97.4,97.9,12.3,0.489,0.418,0.297,0.547,696,4.9,16,10.9,15.7,1.6,1.4,20.1,19.5,1.2,4.1,5.3,0.096,-0.7,3.3,2.6
A.J. Edwards,Yale,Guard,Swingman,1.92977548,1.209426168,Inactive,23,81,3.8,13.7,0.278,1.5,1.5,1,2.3,12.2,0.188,3,4.6,0.667,6.1,4.6,0.8,0,3,3.8,12.9,93.3,104,6.4,0.408,0.361,0.889,0.333,19,4.6,7.4,6,14.3,0.7,0,16.1,15.9,0,0.1,0.1,0.058,-1.5,-2.3,-3.8
A.J. English,Iona,Guard,Game Manager,1.950580898,-0.63404332,Inactive,112,3855,8.9,21.1,0.423,4.4,8.9,0.489,4.6,12.2,0.374,6.8,8.6,0.792,7.1,7.4,2,0.8,4.8,3.8,29.2,113.3,107.3,20.6,0.58,0.531,0.578,0.408,2005,2.2,11.4,7,25.1,2,1.3,16,26.3,10.7,3.5,14.1,0.146,4.7,-1.3,3.4
